l: 1179908, f: 1.17, ts: 1719359798101
l: 1179919, f: 11.68, ts: 1719359896649
l: 1179926, f: 21.54, ts: 1719359959958
l: 1179931, f: 1.14, ts: 1719359977891
ts: 1719360356280, f: 1.25, l: 1179978
ts: 1719360374538, f: 1.19, l: 1179981
ts: 1719360411239, f: 12.01, l: 1179983
ts: 1719360442249, f: 7.05, l: 1179987
ts: 1719360462287, f: 1.51, l: 1179990
ts: 1719360485183, f: 2.34, l: 1179995
ts: 1719360530382, f: 1.12, l: 1179999
ts: 1719360548302, f: 1.14, l: 1180002
ts: 1719360571018, f: 2.3, l: 1180004
ts: 1719360615224, f: 21.65, l: 1180007
ts: 1719360675919, f: 2.46, l: 1180016
